author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
ZIP Realty;https://www.cian.ru/sale/flat/287773091/;Москва;sale;flat;1;9;-1;15.3;5514347;Даниловский;4-й Рощинский проезд;Тульская;
А101;https://www.cian.ru/sale/flat/279712401/;Москва;sale;flat;2;18;1;24.2;6731935;;;Улица Горчакова;Дзен-кварталы ЖК
МИЦ Трейд-ИН;https://www.cian.ru/sale/flat/274957054/;Москва;sale;flat;21;28;-1;20.7;4642000;Митино;Пятницкое шоссе;Пятницкое шоссе;Сити-комплекс Перец
ПИК;https://www.cian.ru/sale/flat/287605735/;Москва;sale;flat;19;33;1;20.2;6658193;Очаково-Матвеевское;к1.4;Давыдково;Новое Очаково ЖК
Самолет Плюс Москва ЦАО;https://www.cian.ru/sale/flat/287673923/;Москва;sale;flat;7;12;-1;13.9;4690000;Западное Дегунино;Дегунинская;Селигерская;Дегунин
ПИК;https://www.cian.ru/sale/flat/277021722/;Москва;sale;flat;2;33;1;19.9;6732028;Метрогородок;к2/1;Бульвар Рокоссовского;Лосиноостровский Парк ЖК
Этажи Москва;https://www.cian.ru/sale/flat/279968311/;Москва;sale;flat;1;14;1;20;4400000;Митино;Уваровский переулок;Митино;
ПИК;https://www.cian.ru/sale/flat/286288688/;Москва;sale;flat;10;24;1;20.1;6766365;Текстильщики;Юго-Восточный ао;Текстильщики;Волжский Парк ЖК
Центр недвижимости от Сбербанка;https://www.cian.ru/sale/flat/286252975/;Москва;sale;flat;8;25;1;23.3;8980000;Орехово-Борисово Южное;Ясеневая;Домодедовская;Ясеневая 14
ПИК;https://www.cian.ru/sale/flat/287421200/;Москва;sale;flat;4;21;-1;25.2;6788124;Сокольники;Сокольнический Вал;Рижская;Сокольнический вал 1
ЕГСН Продажа;https://www.cian.ru/sale/flat/285289876/;Москва;sale;flat;3;5;1;16.1;6100000;Восточное Измайлово;Нижняя Первомайская;Первомайская;
А101;https://www.cian.ru/sale/flat/277903338/;Москва;sale;flat;13;17;1;20.5;6784229;;;Бунинская аллея;
Владис;https://www.cian.ru/sale/flat/277550256/;Москва;sale;flat;3;5;-1;21;4737500;Перово;Металлургов;Перово;
ПИК;https://www.cian.ru/sale/flat/284075366/;Москва;sale;flat;4;33;1;19.8;6788629;Южное Медведково;;Бабушкинская;Полярная 25 ЖК
Этажи Москва;https://www.cian.ru/sale/flat/288314225/;Москва;sale;flat;2;5;1;30.2;14490000;Хамовники;Комсомольский проспект;Фрунзенская;
Абсолют Недвижимость;https://www.cian.ru/sale/flat/287504705/;Москва;sale;flat;11;19;1;27.1;6760343;;;Филатов Луг;
Владис;https://www.cian.ru/sale/flat/288299482/;Москва;sale;flat;3;10;-1;14.5;7200000;Проспект Вернадского;проспект Вернадского;Проспект Вернадского;
ПИК;https://www.cian.ru/sale/flat/285821289/;Москва;sale;flat;14;14;1;22.4;6758479;;;Филатов Луг;Саларьево Парк ЖК
Навигатор;https://www.cian.ru/sale/flat/288364453/;Москва;sale;flat;4;5;-1;16;4750000;Измайлово;Верхняя Первомайская;Первомайская;
ПИК;https://www.cian.ru/sale/flat/280530668/;Москва;sale;flat;2;33;1;19.9;6862068;Нагатино-Садовники;к1.3;Нагатинская;Второй Нагатинский ЖК
Владис;https://www.cian.ru/sale/flat/288402957/;Москва;sale;flat;3;69;1;20.2;7050000;Печатники;;Кожуховская;Левел Южнопортовая ЖК
ПИК;https://www.cian.ru/sale/flat/282439956/;Москва;sale;flat;10;23;1;19.8;6815135;Царицыно;;Кантемировская;Кавказский Бульвар 51 ЖК
Этажи Москва;https://www.cian.ru/sale/flat/281560662/;Москва;sale;flat;25;33;1;20;7400000;Отрадное;Березовая аллея;Отрадное;Сигнальный 16
ПИК;https://www.cian.ru/sale/flat/278638542/;Москва;sale;flat;29;33;1;23.6;6885798;Метрогородок;к1/2;Бульвар Рокоссовского;Открытый Парк ЖК
Этажи Москва;https://www.cian.ru/sale/flat/286945066/;Москва;sale;flat;9;26;1;23.3;5700000;Люблино;Юго-Восточный ао;Братиславская;Светлый Мир Станция Л ЖК
Новые Ватутинки;https://www.cian.ru/sale/flat/282721807/;Москва;sale;flat;9;14;1;25.4;6899148;;;Ольховая;
METRAGE;https://www.cian.ru/sale/flat/287681488/;Москва;sale;flat;1;5;-1;19.5;5100000;Марфино;Гостиничная;Окружная;
А101;https://www.cian.ru/sale/flat/273051738/;Москва;sale;flat;5;15;1;19.4;6841128;;;Прокшино;
METRAGE;https://www.cian.ru/sale/flat/287678192/;Москва;sale;flat;1;5;-1;20.3;7105000;Марфино;Гостиничная;Окружная;
ПИК;https://www.cian.ru/sale/flat/274814383/;Москва;sale;flat;14;23;1;19.7;6933802;Текстильщики;Юго-Восточный ао;Текстильщики;Волжский Парк ЖК
Этажи Москва;https://www.cian.ru/sale/flat/277375049/;Москва;sale;flat;1;5;-1;18;7150000;Марфино;Гостиничная;Окружная;Апартаменты Алтай
ПИК;https://www.cian.ru/sale/flat/275623156/;Москва;sale;flat;24;26;1;19.97;6976960;Нижегородский;;Нижегородская;Перовское 2 ЖК
БЕСТ-Недвижимость на Баррикадной;https://www.cian.ru/sale/flat/287787366/;Москва;sale;flat;6;14;1;23;5999999;;;Щербинка;
ПИК;https://www.cian.ru/sale/flat/280318315/;Москва;sale;flat;7;28;1;19.9;6977140;Гольяново;;Черкизовская;Амурский парк ЖК
Этажи Москва;https://www.cian.ru/sale/flat/274266574/;Москва;sale;flat;6;10;-1;17.5;7200000;Проспект Вернадского;проспект Вернадского;Проспект Вернадского;
Новые Ватутинки;https://www.cian.ru/sale/flat/282656211/;Москва;sale;flat;10;14;1;25.7;6952878;;;Ольховая;
Этажи Москва;https://www.cian.ru/sale/flat/281048522/;Москва;sale;flat;22;25;-1;20.5;8900000;Ростокино;1-я Леонова;Ботанический сад;Апарт-отель YE'S Botanica
